dateid,full_date,dd,mm,yy
873,23/05/2023,23,05,2023
874,24/05/2023,24,05,2023
875,25/05/2023,25,05,2023
876,26/05/2023,26,05,2023
877,27/05/2023,27,05,2023
878,28/05/2023,28,05,2023
879,29/05/2023,29,05,2023
880,30/05/2023,30,05,2023
881,31/05/2023,31,05,2023
882,01/06/2023,01,06,2023
883,02/06/2023,02,06,2023
884,03/06/2023,03,06,2023
885,04/06/2023,04,06,2023
886,05/06/2023,05,06,2023
887,06/06/2023,06,06,2023
888,07/06/2023,07,06,2023
889,08/06/2023,08,06,2023
890,09/06/2023,09,06,2023
891,10/06/2023,10,06,2023
892,11/06/2023,11,06,2023
893,12/06/2023,12,06,2023
894,13/06/2023,13,06,2023
895,14/06/2023,14,06,2023
896,15/06/2023,15,06,2023
897,16/06/2023,16,06,2023
898,17/06/2023,17,06,2023
899,18/06/2023,18,06,2023
900,19/06/2023,19,06,2023
901,20/06/2023,20,06,2023
902,21/06/2023,21,06,2023
903,22/06/2023,22,06,2023
904,23/06/2023,23,06,2023
905,24/06/2023,24,06,2023
906,25/06/2023,25,06,2023
907,26/06/2023,26,06,2023
908,27/06/2023,27,06,2023
909,28/06/2023,28,06,2023
910,29/06/2023,29,06,2023
911,30/06/2023,30,06,2023
912,01/07/2023,01,07,2023
913,02/07/2023,02,07,2023
914,03/07/2023,03,07,2023
915,04/07/2023,04,07,2023
916,05/07/2023,05,07,2023
917,06/07/2023,06,07,2023
918,07/07/2023,07,07,2023
919,08/07/2023,08,07,2023
920,09/07/2023,09,07,2023
921,10/07/2023,10,07,2023
922,11/07/2023,11,07,2023
923,12/07/2023,12,07,2023
924,13/07/2023,13,07,2023
925,14/07/2023,14,07,2023
926,15/07/2023,15,07,2023
927,16/07/2023,16,07,2023
928,17/07/2023,17,07,2023
929,18/07/2023,18,07,2023
930,19/07/2023,19,07,2023
931,20/07/2023,20,07,2023
932,21/07/2023,21,07,2023
933,22/07/2023,22,07,2023
934,23/07/2023,23,07,2023
935,24/07/2023,24,07,2023
936,25/07/2023,25,07,2023
937,26/07/2023,26,07,2023
938,27/07/2023,27,07,2023
939,28/07/2023,28,07,2023
940,29/07/2023,29,07,2023
941,30/07/2023,30,07,2023
942,31/07/2023,31,07,2023
943,01/08/2023,01,08,2023
944,02/08/2023,02,08,2023
945,03/08/2023,03,08,2023
946,04/08/2023,04,08,2023
947,05/08/2023,05,08,2023
948,06/08/2023,06,08,2023
949,07/08/2023,07,08,2023
950,08/08/2023,08,08,2023
951,09/08/2023,09,08,2023
952,10/08/2023,10,08,2023
953,11/08/2023,11,08,2023
954,12/08/2023,12,08,2023
955,13/08/2023,13,08,2023
956,14/08/2023,14,08,2023
957,15/08/2023,15,08,2023
958,16/08/2023,16,08,2023
959,17/08/2023,17,08,2023
960,18/08/2023,18,08,2023
961,19/08/2023,19,08,2023
962,20/08/2023,20,08,2023
963,21/08/2023,21,08,2023
964,22/08/2023,22,08,2023
965,23/08/2023,23,08,2023
966,24/08/2023,24,08,2023
967,25/08/2023,25,08,2023
968,26/08/2023,26,08,2023
969,27/08/2023,27,08,2023
970,28/08/2023,28,08,2023
971,29/08/2023,29,08,2023
972,30/08/2023,30,08,2023
973,31/08/2023,31,08,2023
974,01/09/2023,01,09,2023
975,02/09/2023,02,09,2023
976,03/09/2023,03,09,2023
977,04/09/2023,04,09,2023
978,05/09/2023,05,09,2023
979,06/09/2023,06,09,2023
980,07/09/2023,07,09,2023
981,08/09/2023,08,09,2023
982,09/09/2023,09,09,2023
983,10/09/2023,10,09,2023
984,11/09/2023,11,09,2023
985,12/09/2023,12,09,2023
986,13/09/2023,13,09,2023
987,14/09/2023,14,09,2023
988,15/09/2023,15,09,2023
989,16/09/2023,16,09,2023
990,17/09/2023,17,09,2023
991,18/09/2023,18,09,2023
992,19/09/2023,19,09,2023
993,20/09/2023,20,09,2023
994,21/09/2023,21,09,2023
995,22/09/2023,22,09,2023
996,23/09/2023,23,09,2023
997,24/09/2023,24,09,2023
998,25/09/2023,25,09,2023
999,26/09/2023,26,09,2023
1000,27/09/2023,27,09,2023
1001,28/09/2023,28,09,2023
1002,29/09/2023,29,09,2023
1003,30/09/2023,30,09,2023
1004,01/10/2023,01,10,2023
1005,02/10/2023,02,10,2023
1006,03/10/2023,03,10,2023
1007,04/10/2023,04,10,2023
1008,05/10/2023,05,10,2023
1009,06/10/2023,06,10,2023
1010,07/10/2023,07,10,2023
1011,08/10/2023,08,10,2023
1012,09/10/2023,09,10,2023
1013,10/10/2023,10,10,2023
1014,11/10/2023,11,10,2023
1015,12/10/2023,12,10,2023
1016,13/10/2023,13,10,2023
1017,14/10/2023,14,10,2023
1018,15/10/2023,15,10,2023
1019,16/10/2023,16,10,2023
1020,17/10/2023,17,10,2023
1021,18/10/2023,18,10,2023
1022,19/10/2023,19,10,2023
1023,20/10/2023,20,10,2023
1024,21/10/2023,21,10,2023
1025,22/10/2023,22,10,2023
1026,23/10/2023,23,10,2023
1027,24/10/2023,24,10,2023
1028,25/10/2023,25,10,2023
1029,26/10/2023,26,10,2023
1030,27/10/2023,27,10,2023
1031,28/10/2023,28,10,2023
1032,29/10/2023,29,10,2023
1033,30/10/2023,30,10,2023
1034,31/10/2023,31,10,2023
1035,01/11/2023,01,11,2023
1036,02/11/2023,02,11,2023
1037,03/11/2023,03,11,2023
1038,04/11/2023,04,11,2023
